Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga;Ciclo
0.0;;;AUTO;OFF;OFF;0
1.1;;;AUTO;OFF;OFF;0
2.1;3.776;0.000;AUTO;ON;OFF;0
3.1;4.196;0.000;AUTO;ON;OFF;0
4.1;4.197;0.000;AUTO;ON;OFF;0
5.1;4.198;0.000;AUTO;ON;OFF;0
6.1;4.198;0.000;AUTO;ON;OFF;0
7.1;4.198;0.000;AUTO;ON;OFF;0
8.1;4.200;0.000;AUTO;ON;OFF;0
9.1;4.200;0.000;AUTO;ON;OFF;0
10.1;4.200;0.000;AUTO;OFF;ON;1
11.2;3.720;0.000;MANUAL;OFF;OFF;1
12.2;3.807;0.000;MANUAL;OFF;OFF;1
13.2;3.805;0.000;MANUAL;OFF;OFF;1
14.2;3.804;0.000;MANUAL;OFF;OFF;1
15.2;3.803;0.000;MANUAL;OFF;OFF;1
16.2;3.803;0.000;MANUAL;OFF;OFF;1
17.2;3.803;0.000;MANUAL;OFF;OFF;1
18.2;3.802;0.000;MANUAL;OFF;OFF;1
19.2;3.801;0.000;MANUAL;OFF;OFF;1
20.2;3.801;0.000;MANUAL;OFF;OFF;1
21.2;3.800;0.000;MANUAL;OFF;OFF;1
22.3;3.799;0.000;MANUAL;OFF;OFF;1
23.3;3.799;0.000;MANUAL;OFF;OFF;1
24.3;3.799;0.000;MANUAL;OFF;OFF;1
25.3;3.799;0.000;MANUAL;OFF;OFF;1
26.3;3.798;0.000;MANUAL;OFF;OFF;1
27.3;3.798;0.000;MANUAL;OFF;OFF;1
28.3;3.798;0.000;MANUAL;OFF;OFF;1
29.3;3.798;0.000;MANUAL;OFF;OFF;1
30.3;3.797;0.000;MANUAL;OFF;OFF;1
31.3;3.797;0.000;MANUAL;OFF;OFF;1
32.3;3.797;0.000;MANUAL;OFF;OFF;1
33.3;3.796;0.000;MANUAL;OFF;OFF;1
34.4;3.796;0.000;MANUAL;OFF;OFF;1
35.4;3.796;0.000;MANUAL;OFF;OFF;1
