Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
2.0;3.673;0.000;MANUAL;OFF;OFF
2.3;3.673;0.000;MANUAL;OFF;OFF
2.8;3.673;0.000;MANUAL;OFF;OFF
3.5;3.673;0.000;MANUAL;OFF;OFF
4.0;3.673;0.000;MANUAL;OFF;OFF
4.7;3.673;0.000;MANUAL;OFF;OFF
5.0;3.673;0.000;MANUAL;OFF;OFF
5.8;3.673;0.000;MANUAL;OFF;OFF
6.1;3.673;0.000;MANUAL;OFF;OFF
7.0;3.673;0.000;MANUAL;OFF;OFF
7.1;3.673;0.000;MANUAL;OFF;OFF
8.1;3.673;0.000;MANUAL;OFF;OFF
8.2;3.673;0.000;MANUAL;OFF;OFF
9.3;3.673;0.000;MANUAL;OFF;OFF
9.3;3.673;0.000;MANUAL;OFF;OFF
10.4;3.673;0.000;MANUAL;OFF;OFF
10.5;3.673;0.000;MANUAL;OFF;OFF
11.4;3.673;0.000;MANUAL;OFF;OFF
11.6;3.673;0.000;MANUAL;OFF;OFF
12.5;3.673;0.000;MANUAL;OFF;OFF
12.8;3.673;0.000;MANUAL;OFF;OFF
13.6;3.673;0.000;MANUAL;OFF;OFF
13.9;3.673;0.000;MANUAL;OFF;OFF
14.6;3.673;0.000;MANUAL;OFF;OFF
15.1;3.673;0.000;MANUAL;OFF;OFF
15.7;3.673;0.000;MANUAL;OFF;OFF
16.3;3.674;0.000;MANUAL;OFF;OFF
16.8;3.674;0.000;MANUAL;OFF;OFF
17.4;3.673;0.000;MANUAL;OFF;OFF
17.9;3.673;0.000;MANUAL;OFF;OFF
18.6;3.673;0.000;MANUAL;OFF;OFF
18.9;3.673;0.000;MANUAL;OFF;OFF
19.7;3.673;0.000;MANUAL;OFF;OFF
20.0;3.673;0.000;MANUAL;OFF;OFF
20.9;3.673;0.000;MANUAL;OFF;OFF
21.1;3.673;0.000;MANUAL;OFF;OFF
22.1;3.673;0.000;MANUAL;OFF;OFF
22.2;3.673;0.000;MANUAL;OFF;OFF
23.2;3.973;0.000;MANUAL;ON;OFF
23.2;3.973;0.000;MANUAL;ON;OFF
24.3;3.973;0.000;MANUAL;ON;OFF
24.4;4.076;0.000;MANUAL;ON;OFF
25.4;4.076;0.000;MANUAL;ON;OFF
25.5;4.083;0.000;MANUAL;ON;OFF
26.5;4.083;0.000;MANUAL;ON;OFF
26.7;4.088;0.000;MANUAL;ON;OFF
27.5;4.088;0.000;MANUAL;ON;OFF
27.9;4.093;0.000;MANUAL;ON;OFF
28.6;4.093;0.000;MANUAL;ON;OFF
29.0;4.096;0.000;MANUAL;ON;OFF
29.7;4.096;0.000;MANUAL;ON;OFF
30.2;4.100;0.000;MANUAL;ON;OFF
30.7;4.100;0.000;MANUAL;ON;OFF
31.3;4.103;0.000;MANUAL;ON;OFF
31.8;4.103;0.000;MANUAL;ON;OFF
32.5;4.105;0.000;MANUAL;ON;OFF
32.9;4.105;0.000;MANUAL;ON;OFF
33.7;4.108;0.000;MANUAL;ON;OFF
33.9;4.108;0.000;MANUAL;ON;OFF
34.8;4.111;0.000;MANUAL;ON;OFF
35.0;4.111;0.000;MANUAL;ON;OFF
36.0;4.112;0.000;MANUAL;ON;OFF
36.1;4.112;0.000;MANUAL;ON;OFF
37.1;4.112;0.000;MANUAL;ON;OFF
37.1;4.115;0.000;MANUAL;ON;OFF
38.2;4.115;0.000;MANUAL;ON;OFF
38.3;4.115;0.000;MANUAL;ON;OFF
39.3;4.115;0.000;MANUAL;ON;OFF
39.5;4.115;0.000;MANUAL;ON;OFF
40.3;4.115;0.000;MANUAL;ON;OFF
40.6;4.115;0.000;MANUAL;ON;OFF
41.4;4.115;0.000;MANUAL;ON;OFF
41.8;4.116;0.000;MANUAL;ON;OFF
42.5;4.116;0.000;MANUAL;ON;OFF
42.9;4.118;0.000;MANUAL;ON;OFF
43.6;4.118;0.000;MANUAL;ON;OFF
44.1;4.120;0.000;MANUAL;ON;OFF
44.6;4.120;0.000;MANUAL;ON;OFF
45.3;4.121;0.000;MANUAL;ON;OFF
45.7;4.121;0.000;MANUAL;ON;OFF
46.4;4.121;0.000;MANUAL;ON;OFF
