Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga;Ciclo
0.1;;;AUTO;OFF;OFF;0
1.0;3.571;0.000;AUTO;ON;OFF;0
2.1;4.097;0.000;AUTO;ON;OFF;0
3.1;4.108;0.000;AUTO;ON;OFF;0
4.1;4.116;0.000;AUTO;ON;OFF;0
5.1;4.124;0.000;AUTO;ON;OFF;0
6.0;4.130;0.000;AUTO;ON;OFF;0
7.1;4.130;0.000;AUTO;ON;OFF;0
8.1;4.137;0.000;AUTO;ON;OFF;0
9.1;4.144;0.000;AUTO;ON;OFF;0
10.1;4.148;0.000;AUTO;ON;OFF;0
11.1;4.152;0.000;AUTO;ON;OFF;0
12.1;4.156;0.000;AUTO;ON;OFF;0
13.0;4.161;0.000;AUTO;ON;OFF;0
14.1;4.166;0.000;AUTO;ON;OFF;0
15.2;4.166;0.000;AUTO;ON;OFF;0
16.2;4.170;0.000;AUTO;ON;OFF;0
17.2;4.174;0.000;AUTO;ON;OFF;0
18.2;4.175;0.000;AUTO;ON;OFF;0
19.2;4.177;0.000;AUTO;ON;OFF;0
20.2;4.179;0.000;AUTO;ON;OFF;0
21.1;4.178;0.000;AUTO;ON;OFF;0
22.3;4.179;0.000;AUTO;ON;OFF;0
23.3;4.179;0.000;AUTO;ON;OFF;0
24.3;4.179;0.000;AUTO;ON;OFF;0
25.3;4.179;0.000;AUTO;ON;OFF;0
26.3;4.180;0.000;AUTO;ON;OFF;0
27.3;4.181;0.000;AUTO;ON;OFF;0
28.3;4.182;0.000;AUTO;ON;OFF;0
29.2;4.182;0.000;AUTO;ON;OFF;0
30.3;4.182;0.000;AUTO;ON;OFF;0
31.4;4.182;0.000;AUTO;ON;OFF;0
32.4;4.182;0.000;AUTO;ON;OFF;0
33.4;4.182;0.000;AUTO;ON;OFF;0
34.4;4.182;0.000;AUTO;ON;OFF;0
35.4;4.183;0.000;AUTO;ON;OFF;0
36.4;4.182;0.000;AUTO;ON;OFF;0
37.3;4.182;0.000;AUTO;ON;OFF;0
38.4;4.182;0.000;AUTO;ON;OFF;0
39.4;4.184;0.000;AUTO;ON;OFF;0
40.4;4.186;0.000;AUTO;ON;OFF;0
41.4;4.184;0.000;AUTO;ON;OFF;0
42.5;4.185;0.000;AUTO;ON;OFF;0
43.5;4.186;0.000;AUTO;ON;OFF;0
44.3;4.186;0.000;AUTO;ON;OFF;0
45.5;4.186;0.000;AUTO;ON;OFF;0
46.5;4.186;0.000;AUTO;ON;OFF;0
47.5;4.186;0.000;AUTO;ON;OFF;0
48.5;4.187;0.000;AUTO;ON;OFF;0
49.5;4.187;0.000;AUTO;ON;OFF;0
50.5;4.187;0.000;AUTO;ON;OFF;0
51.5;4.187;0.000;AUTO;ON;OFF;0
52.4;4.188;0.000;AUTO;ON;OFF;0
53.6;4.188;0.000;AUTO;ON;OFF;0
54.6;4.189;0.000;AUTO;ON;OFF;0
55.6;4.189;0.000;AUTO;ON;OFF;0
56.6;4.189;0.000;AUTO;ON;OFF;0
57.6;4.189;0.000;AUTO;ON;OFF;0
58.6;4.189;0.000;AUTO;ON;OFF;0
59.6;4.190;0.000;AUTO;ON;OFF;0
60.5;4.189;0.000;AUTO;ON;OFF;0
61.6;4.189;0.000;AUTO;ON;OFF;0
62.7;4.189;0.000;AUTO;ON;OFF;0
63.7;4.191;0.000;AUTO;ON;OFF;0
64.7;4.191;0.000;AUTO;ON;OFF;0
65.7;4.190;0.000;AUTO;ON;OFF;0
66.7;4.191;0.000;AUTO;ON;OFF;0
67.5;4.191;0.000;AUTO;ON;OFF;0
68.7;4.191;0.000;AUTO;ON;OFF;0
69.7;4.191;0.000;AUTO;ON;OFF;0
70.7;4.192;0.000;AUTO;ON;OFF;0
71.7;4.191;0.000;AUTO;ON;OFF;0
72.7;4.193;0.000;AUTO;ON;OFF;0
73.8;4.193;0.000;AUTO;ON;OFF;0
74.8;4.193;0.000;AUTO;ON;OFF;0
75.6;4.193;0.000;AUTO;ON;OFF;0
76.8;4.193;0.000;AUTO;ON;OFF;0
77.8;4.193;0.000;AUTO;ON;OFF;0
78.8;4.193;0.000;AUTO;ON;OFF;0
79.8;4.194;0.000;AUTO;ON;OFF;0
80.9;4.193;0.000;AUTO;ON;OFF;0
81.9;4.193;0.000;AUTO;ON;OFF;0
82.9;4.194;0.000;AUTO;ON;OFF;0
83.7;4.194;0.000;AUTO;ON;OFF;0
84.9;4.194;0.000;AUTO;ON;OFF;0
85.9;4.194;0.000;AUTO;ON;OFF;0
86.9;4.193;0.000;AUTO;ON;OFF;0
87.9;4.194;0.000;AUTO;ON;OFF;0
89.0;4.194;0.000;AUTO;ON;OFF;0
90.0;4.193;0.000;AUTO;ON;OFF;0
91.0;4.194;0.000;AUTO;ON;OFF;0
91.9;4.194;0.000;AUTO;ON;OFF;0
93.0;4.194;0.000;AUTO;ON;OFF;0
94.0;4.194;0.000;AUTO;ON;OFF;0
95.1;4.194;0.000;AUTO;ON;OFF;0
96.1;4.194;0.000;AUTO;ON;OFF;0
97.1;4.194;0.000;AUTO;ON;OFF;0
98.1;4.194;0.000;AUTO;ON;OFF;0
99.1;4.194;0.000;AUTO;ON;OFF;0
100.0;4.194;0.000;AUTO;ON;OFF;0
101.1;4.194;0.000;AUTO;ON;OFF;0
102.1;4.194;0.000;AUTO;ON;OFF;0
103.1;4.195;0.000;AUTO;ON;OFF;0
104.1;4.194;0.000;AUTO;ON;OFF;0
105.1;4.195;0.000;AUTO;ON;OFF;0
106.2;4.194;0.000;AUTO;ON;OFF;0
107.2;4.194;0.000;AUTO;ON;OFF;0
108.1;4.194;0.000;AUTO;ON;OFF;0
109.2;4.194;0.000;AUTO;ON;OFF;0
110.2;4.195;0.000;AUTO;ON;OFF;0
111.2;4.195;0.000;AUTO;ON;OFF;0
112.2;4.194;0.000;AUTO;ON;OFF;0
113.2;4.194;0.000;AUTO;ON;OFF;0
114.3;4.195;0.000;AUTO;ON;OFF;0
115.1;4.196;0.000;AUTO;ON;OFF;0
116.2;4.195;0.000;AUTO;ON;OFF;0
117.3;4.195;0.000;AUTO;ON;OFF;0
118.3;4.196;0.000;AUTO;ON;OFF;0
119.3;4.196;0.000;AUTO;ON;OFF;0
120.3;4.196;0.000;AUTO;ON;OFF;0
121.4;4.195;0.000;AUTO;ON;OFF;0
122.4;4.196;0.000;AUTO;ON;OFF;0
123.2;4.195;0.000;AUTO;ON;OFF;0
124.3;4.196;0.000;AUTO;ON;OFF;0
125.4;4.196;0.000;AUTO;ON;OFF;0
126.4;4.196;0.000;AUTO;ON;OFF;0
127.4;4.196;0.000;AUTO;ON;OFF;0
128.4;4.196;0.000;AUTO;ON;OFF;0
129.4;4.195;0.000;AUTO;ON;OFF;0
130.5;4.196;0.000;AUTO;ON;OFF;0
131.3;4.196;0.000;AUTO;ON;OFF;0
132.5;4.196;0.000;AUTO;ON;OFF;0
133.5;4.196;0.000;AUTO;ON;OFF;0
134.5;4.196;0.000;AUTO;ON;OFF;0
135.5;4.196;0.000;AUTO;ON;OFF;0
136.5;4.196;0.000;AUTO;ON;OFF;0
137.5;4.196;0.000;AUTO;ON;OFF;0
138.6;4.196;0.000;AUTO;ON;OFF;0
139.4;4.196;0.000;AUTO;ON;OFF;0
140.6;4.196;0.000;AUTO;ON;OFF;0
141.6;4.196;0.000;AUTO;ON;OFF;0
142.6;4.196;0.000;AUTO;ON;OFF;0
143.6;4.196;0.000;AUTO;ON;OFF;0
144.6;4.196;0.000;AUTO;ON;OFF;0
145.6;4.196;0.000;AUTO;ON;OFF;0
146.6;4.196;0.000;AUTO;ON;OFF;0
147.5;4.197;0.000;AUTO;ON;OFF;0
148.7;4.197;0.000;AUTO;ON;OFF;0
149.7;4.196;0.000;AUTO;ON;OFF;0
150.7;4.197;0.000;AUTO;ON;OFF;0
151.7;4.197;0.000;AUTO;ON;OFF;0
152.7;4.196;0.000;AUTO;ON;OFF;0
153.7;4.197;0.000;AUTO;ON;OFF;0
154.7;4.198;0.000;AUTO;ON;OFF;0
155.7;4.197;0.000;AUTO;ON;OFF;0
156.8;4.197;0.000;AUTO;ON;OFF;0
157.8;4.198;0.000;AUTO;ON;OFF;0
158.8;4.197;0.000;AUTO;ON;OFF;0
159.8;4.197;0.000;AUTO;ON;OFF;0
160.8;4.198;0.000;AUTO;ON;OFF;0
161.8;4.198;0.000;AUTO;ON;OFF;0
162.6;4.198;0.000;AUTO;ON;OFF;0
163.8;4.198;0.000;AUTO;ON;OFF;0
164.8;4.198;0.000;AUTO;ON;OFF;0
165.8;4.197;0.000;AUTO;ON;OFF;0
166.9;4.197;0.000;AUTO;ON;OFF;0
167.9;4.198;0.000;AUTO;ON;OFF;0
168.9;4.198;0.000;AUTO;ON;OFF;0
169.9;4.197;0.000;AUTO;ON;OFF;0
170.7;4.196;0.000;AUTO;ON;OFF;0
171.9;4.196;0.000;AUTO;ON;OFF;0
172.9;4.196;0.000;AUTO;ON;OFF;0
173.9;4.197;0.000;AUTO;ON;OFF;0
174.9;4.196;0.000;AUTO;ON;OFF;0
175.9;4.197;0.000;AUTO;ON;OFF;0
176.9;4.197;0.000;AUTO;ON;OFF;0
178.0;4.197;0.000;AUTO;ON;OFF;0
178.9;4.197;0.000;AUTO;ON;OFF;0
180.0;4.197;0.000;AUTO;ON;OFF;0
181.0;4.196;0.000;AUTO;ON;OFF;0
182.0;4.196;0.000;AUTO;ON;OFF;0
183.0;4.197;0.000;AUTO;ON;OFF;0
