Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
2.0;3.523;0.000;AUTO;ON;OFF
2.0;4.004;0.000;AUTO;ON;OFF
2.2;4.004;0.000;AUTO;ON;OFF
3.0;4.017;0.000;AUTO;ON;OFF
3.3;4.017;0.000;AUTO;ON;OFF
4.2;4.028;0.000;AUTO;ON;OFF
4.4;4.028;0.000;AUTO;ON;OFF
5.4;4.036;0.000;AUTO;ON;OFF
5.4;4.036;0.000;AUTO;ON;OFF
6.5;4.036;0.000;AUTO;ON;OFF
6.5;4.043;0.000;AUTO;ON;OFF
7.6;4.043;0.000;AUTO;ON;OFF
7.7;4.050;0.000;AUTO;ON;OFF
8.6;4.050;0.000;AUTO;ON;OFF
8.8;4.059;0.000;AUTO;ON;OFF
9.7;4.059;0.000;AUTO;ON;OFF
10.0;4.066;0.000;AUTO;ON;OFF
10.8;4.066;0.000;AUTO;ON;OFF
11.2;4.071;0.000;AUTO;ON;OFF
11.8;4.071;0.000;AUTO;ON;OFF
12.3;4.077;0.000;AUTO;ON;OFF
12.9;4.077;0.000;AUTO;ON;OFF
13.5;4.083;0.000;AUTO;ON;OFF
14.0;4.083;0.000;AUTO;ON;OFF
14.6;4.088;0.000;AUTO;ON;OFF
15.0;4.088;0.000;AUTO;ON;OFF
15.8;4.091;0.000;AUTO;ON;OFF
16.1;4.091;0.000;AUTO;ON;OFF
17.0;4.096;0.000;AUTO;ON;OFF
17.2;4.096;0.000;AUTO;ON;OFF
18.1;4.101;0.000;AUTO;ON;OFF
18.3;4.101;0.000;AUTO;ON;OFF
19.3;4.105;0.000;AUTO;ON;OFF
19.3;4.105;0.000;AUTO;ON;OFF
20.4;4.105;0.000;AUTO;ON;OFF
20.4;4.110;0.000;AUTO;ON;OFF
21.5;4.110;0.000;AUTO;ON;OFF
21.6;4.113;0.000;AUTO;ON;OFF
22.5;4.113;0.000;AUTO;ON;OFF
22.8;4.118;0.000;AUTO;ON;OFF
23.6;4.118;0.000;AUTO;ON;OFF
23.9;4.121;0.000;AUTO;ON;OFF
24.7;4.121;0.000;AUTO;ON;OFF
25.1;4.125;0.000;AUTO;ON;OFF
25.8;4.125;0.000;AUTO;ON;OFF
26.2;4.129;0.000;AUTO;ON;OFF
26.8;4.129;0.000;AUTO;ON;OFF
27.4;4.132;0.000;AUTO;ON;OFF
27.9;4.132;0.000;AUTO;ON;OFF
28.6;4.135;0.000;AUTO;ON;OFF
29.0;4.135;0.000;AUTO;ON;OFF
29.7;4.136;0.000;AUTO;ON;OFF
30.0;4.136;0.000;AUTO;ON;OFF
30.9;4.137;0.000;AUTO;ON;OFF
31.1;4.137;0.000;AUTO;ON;OFF
32.0;4.141;0.000;AUTO;ON;OFF
32.2;4.141;0.000;AUTO;ON;OFF
33.3;4.142;0.000;AUTO;ON;OFF
33.3;4.142;0.000;AUTO;ON;OFF
34.3;4.142;0.000;AUTO;ON;OFF
34.4;4.144;0.000;AUTO;ON;OFF
35.4;4.144;0.000;AUTO;ON;OFF
35.5;4.145;0.000;AUTO;ON;OFF
36.5;4.145;0.000;AUTO;ON;OFF
36.7;4.146;0.000;AUTO;ON;OFF
37.6;4.146;0.000;AUTO;ON;OFF
37.8;4.146;0.000;AUTO;ON;OFF
38.7;4.146;0.000;AUTO;ON;OFF
39.0;4.148;0.000;AUTO;ON;OFF
39.8;4.148;0.000;AUTO;ON;OFF
40.2;4.150;0.000;AUTO;ON;OFF
40.8;4.150;0.000;AUTO;ON;OFF
41.3;4.151;0.000;AUTO;ON;OFF
41.9;4.151;0.000;AUTO;ON;OFF
42.5;4.153;0.000;AUTO;ON;OFF
43.0;4.153;0.000;AUTO;ON;OFF
43.6;4.152;0.000;AUTO;ON;OFF
44.1;4.152;0.000;AUTO;ON;OFF
44.8;4.155;0.000;AUTO;ON;OFF
45.1;4.155;0.000;AUTO;ON;OFF
46.0;4.154;0.000;AUTO;ON;OFF
46.2;4.154;0.000;AUTO;ON;OFF
47.1;4.155;0.000;AUTO;ON;OFF
47.3;4.155;0.000;AUTO;ON;OFF
48.3;4.156;0.000;AUTO;ON;OFF
48.3;4.156;0.000;AUTO;ON;OFF
49.4;4.156;0.000;AUTO;ON;OFF
49.4;4.157;0.000;AUTO;ON;OFF
50.5;4.157;0.000;AUTO;ON;OFF
50.6;4.158;0.000;AUTO;ON;OFF
51.5;4.158;0.000;AUTO;ON;OFF
51.8;4.160;0.000;AUTO;ON;OFF
52.6;4.160;0.000;AUTO;ON;OFF
52.9;4.160;0.000;AUTO;ON;OFF
53.7;4.160;0.000;AUTO;ON;OFF
54.1;4.160;0.000;AUTO;ON;OFF
54.7;4.160;0.000;AUTO;ON;OFF
55.2;4.160;0.000;AUTO;ON;OFF
55.8;4.160;0.000;AUTO;ON;OFF
56.4;4.161;0.000;AUTO;ON;OFF
56.9;4.161;0.000;AUTO;ON;OFF
57.6;4.162;0.000;AUTO;ON;OFF
58.0;4.162;0.000;AUTO;ON;OFF
58.7;4.163;0.000;AUTO;ON;OFF
