Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
14.4;3.844;0.000;MANUAL;OFF;OFF
14.8;3.844;0.000;MANUAL;OFF;OFF
15.6;3.844;0.000;MANUAL;OFF;OFF
15.9;3.844;0.000;MANUAL;OFF;OFF
16.8;3.844;0.000;MANUAL;OFF;OFF
17.0;3.844;0.000;MANUAL;OFF;OFF
17.9;3.844;0.000;MANUAL;OFF;OFF
18.1;3.844;0.000;MANUAL;OFF;OFF
19.1;3.844;0.000;MANUAL;OFF;OFF
19.2;3.844;0.000;MANUAL;OFF;OFF
20.2;3.844;0.000;MANUAL;OFF;OFF
20.2;3.844;0.000;MANUAL;OFF;OFF
21.3;3.844;0.000;MANUAL;OFF;OFF
21.4;3.843;0.000;MANUAL;OFF;OFF
22.4;3.843;0.000;MANUAL;OFF;OFF
22.6;3.844;0.000;MANUAL;OFF;OFF
23.5;3.844;0.000;MANUAL;OFF;OFF
23.7;3.843;0.000;MANUAL;OFF;OFF
24.5;3.843;0.000;MANUAL;OFF;OFF
24.9;3.844;0.000;MANUAL;OFF;OFF
25.6;3.844;0.000;MANUAL;OFF;OFF
26.0;3.843;0.000;MANUAL;OFF;OFF
26.7;3.843;0.000;MANUAL;OFF;OFF
27.2;3.843;0.000;MANUAL;OFF;OFF
27.7;3.843;0.000;MANUAL;OFF;OFF
28.4;3.844;0.000;MANUAL;OFF;OFF
28.8;3.844;0.000;MANUAL;OFF;OFF
29.5;3.843;0.000;MANUAL;OFF;OFF
29.9;3.843;0.000;MANUAL;OFF;OFF
30.7;3.843;0.000;MANUAL;OFF;OFF
31.0;3.843;0.000;MANUAL;OFF;OFF
31.8;3.843;0.000;MANUAL;OFF;OFF
32.1;3.843;0.000;MANUAL;OFF;OFF
33.0;3.843;0.000;MANUAL;OFF;OFF
33.1;3.843;0.000;MANUAL;OFF;OFF
34.2;3.843;0.000;MANUAL;OFF;OFF
34.2;3.843;0.000;MANUAL;OFF;OFF
35.3;3.843;0.000;MANUAL;OFF;OFF
35.3;3.843;0.000;MANUAL;OFF;OFF
36.3;3.843;0.000;MANUAL;OFF;OFF
36.5;3.843;0.000;MANUAL;OFF;OFF
37.4;3.843;0.000;MANUAL;OFF;OFF
37.6;3.843;0.000;MANUAL;OFF;OFF
38.5;3.843;0.000;MANUAL;OFF;OFF
38.8;3.843;0.000;MANUAL;OFF;OFF
39.6;3.843;0.000;MANUAL;OFF;OFF
40.0;3.843;0.000;MANUAL;OFF;OFF
40.6;3.843;0.000;MANUAL;OFF;OFF
41.1;3.843;0.000;MANUAL;OFF;OFF
41.7;3.843;0.000;MANUAL;OFF;OFF
42.3;3.843;0.000;MANUAL;OFF;OFF
42.8;3.843;0.000;MANUAL;OFF;OFF
43.4;3.843;0.000;MANUAL;OFF;OFF
43.9;3.843;0.000;MANUAL;OFF;OFF
44.6;3.843;0.000;MANUAL;OFF;OFF
44.9;3.843;0.000;MANUAL;OFF;OFF
45.8;3.843;0.000;MANUAL;OFF;OFF
46.0;3.843;0.000;MANUAL;OFF;OFF
46.9;3.843;0.000;MANUAL;OFF;OFF
47.1;3.843;0.000;MANUAL;OFF;OFF
48.1;3.843;0.000;MANUAL;OFF;OFF
48.2;3.843;0.000;MANUAL;OFF;OFF
49.2;3.843;0.000;MANUAL;OFF;OFF
49.2;3.842;0.000;MANUAL;OFF;OFF
50.3;3.842;0.000;MANUAL;OFF;OFF
50.4;3.842;0.000;MANUAL;OFF;OFF
51.4;3.842;0.000;MANUAL;OFF;OFF
51.6;3.842;0.000;MANUAL;OFF;OFF
52.5;3.842;0.000;MANUAL;OFF;OFF
52.7;3.842;0.145;MANUAL;OFF;ON
53.5;3.842;0.145;MANUAL;OFF;ON
53.9;3.588;0.289;MANUAL;OFF;ON
54.6;3.588;0.289;MANUAL;OFF;ON
55.0;3.582;0.369;MANUAL;OFF;ON
55.7;3.582;0.369;MANUAL;OFF;ON
56.2;3.578;0.377;MANUAL;OFF;ON
56.7;3.578;0.377;MANUAL;OFF;ON
57.4;3.574;0.354;MANUAL;OFF;ON
57.8;3.574;0.354;MANUAL;OFF;ON
58.5;3.571;0.350;MANUAL;OFF;ON
58.9;3.571;0.350;MANUAL;OFF;ON
59.7;3.624;0.105;MANUAL;OFF;ON
60.0;3.624;0.105;MANUAL;OFF;ON
60.8;3.646;0.157;MANUAL;OFF;ON
61.0;3.646;0.157;MANUAL;OFF;ON
62.0;3.646;0.148;MANUAL;OFF;ON
62.1;3.646;0.148;MANUAL;OFF;ON
63.1;3.646;0.148;MANUAL;OFF;ON
63.2;3.644;0.155;MANUAL;OFF;ON
64.2;3.644;0.155;MANUAL;OFF;ON
64.3;3.643;0.184;MANUAL;OFF;ON
65.3;3.643;0.184;MANUAL;OFF;ON
65.5;3.641;0.106;MANUAL;OFF;ON
66.3;3.641;0.106;MANUAL;OFF;ON
66.6;3.639;0.142;MANUAL;OFF;ON
67.4;3.639;0.142;MANUAL;OFF;ON
67.8;3.638;0.140;MANUAL;OFF;ON
68.5;3.638;0.140;MANUAL;OFF;ON
69.0;3.636;0.142;MANUAL;OFF;ON
69.5;3.636;0.142;MANUAL;OFF;ON
70.1;3.633;0.148;MANUAL;OFF;ON
70.6;3.633;0.148;MANUAL;OFF;ON
71.3;3.633;0.146;MANUAL;OFF;ON
71.6;3.633;0.146;MANUAL;OFF;ON
72.4;3.630;0.099;MANUAL;OFF;ON
72.7;3.630;0.099;MANUAL;OFF;ON
73.6;3.629;0.143;MANUAL;OFF;ON
73.8;3.629;0.143;MANUAL;OFF;ON
74.8;3.628;0.192;MANUAL;OFF;ON
74.9;3.628;0.192;MANUAL;OFF;ON
75.9;3.627;0.185;MANUAL;OFF;ON
75.9;3.627;0.185;MANUAL;OFF;ON
77.0;3.627;0.185;MANUAL;OFF;ON
77.1;3.625;0.215;MANUAL;OFF;ON
78.1;3.625;0.215;MANUAL;OFF;ON
78.2;3.624;0.167;MANUAL;OFF;ON
79.2;3.624;0.167;MANUAL;OFF;ON
79.4;3.622;0.092;MANUAL;OFF;ON
80.2;3.622;0.092;MANUAL;OFF;ON
