Tempo (s),Tensao (V),Modo,Carga,Descarga
1.4,6.609,AUTO,ON,ON
2.1,6.609,AUTO,ON,ON
2.7,6.609,AUTO,ON,ON
3.4,6.609,AUTO,ON,ON
4.0,6.609,AUTO,ON,ON
4.6,6.609,AUTO,ON,ON
5.3,6.609,AUTO,ON,ON
5.9,6.609,AUTO,ON,ON
6.6,6.609,AUTO,ON,ON
7.2,6.609,AUTO,ON,ON
7.8,6.609,MANUAL,OFF,ON
8.5,6.609,MANUAL,OFF,ON
9.1,6.609,MANUAL,OFF,ON
9.8,6.609,MANUAL,OFF,ON
10.4,6.609,MANUAL,OFF,ON
11.0,6.609,MANUAL,OFF,OFF
11.7,3.859,MANUAL,OFF,OFF
12.3,3.859,MANUAL,OFF,OFF
13.0,3.859,MANUAL,OFF,OFF
13.6,3.859,MANUAL,OFF,OFF
14.2,3.859,MANUAL,OFF,OFF
14.9,3.859,MANUAL,OFF,OFF
15.5,3.859,MANUAL,OFF,ON
16.2,6.609,MANUAL,OFF,ON
16.8,6.609,MANUAL,OFF,ON
17.4,6.609,MANUAL,OFF,ON
18.1,6.609,MANUAL,OFF,OFF
18.7,3.859,MANUAL,OFF,OFF
19.4,3.859,MANUAL,OFF,OFF
20.0,3.859,MANUAL,OFF,OFF
20.6,3.859,MANUAL,OFF,OFF
21.3,3.859,MANUAL,OFF,OFF
21.9,3.859,MANUAL,OFF,OFF
22.6,3.859,MANUAL,OFF,OFF
23.2,3.859,MANUAL,OFF,OFF
23.8,3.859,MANUAL,OFF,OFF
24.5,3.859,MANUAL,OFF,OFF
25.1,3.859,MANUAL,OFF,OFF
25.8,3.859,MANUAL,OFF,OFF
26.4,3.859,MANUAL,OFF,OFF
27.0,3.859,MANUAL,OFF,OFF
27.7,3.859,MANUAL,OFF,OFF
28.3,3.859,MANUAL,OFF,OFF
29.0,3.859,MANUAL,OFF,OFF
29.6,3.859,MANUAL,OFF,OFF
30.2,3.859,MANUAL,OFF,OFF
30.9,3.859,MANUAL,OFF,OFF
31.5,3.859,MANUAL,OFF,OFF
32.2,3.859,MANUAL,OFF,OFF
32.8,3.859,MANUAL,OFF,OFF
33.4,3.859,MANUAL,OFF,OFF
34.1,3.859,MANUAL,OFF,OFF
34.7,3.859,MANUAL,OFF,OFF
35.4,3.859,MANUAL,OFF,OFF
36.0,3.859,MANUAL,OFF,OFF
36.6,3.859,MANUAL,OFF,OFF
37.3,3.859,MANUAL,OFF,OFF
37.9,3.859,MANUAL,OFF,OFF
38.6,3.859,MANUAL,OFF,OFF
39.2,3.859,MANUAL,OFF,OFF
39.8,3.859,MANUAL,OFF,OFF
40.5,3.859,MANUAL,OFF,OFF
41.1,3.859,MANUAL,OFF,OFF
41.8,3.859,MANUAL,OFF,OFF
42.4,3.859,MANUAL,OFF,OFF
43.0,3.859,MANUAL,OFF,OFF
43.7,3.859,MANUAL,OFF,OFF
44.3,3.859,MANUAL,OFF,OFF
45.0,3.859,MANUAL,OFF,OFF
45.6,3.859,MANUAL,OFF,OFF
46.2,3.859,MANUAL,OFF,OFF
46.9,3.859,MANUAL,OFF,OFF
47.5,3.859,MANUAL,OFF,OFF
48.2,3.859,MANUAL,OFF,OFF
48.8,3.859,MANUAL,OFF,OFF
49.4,3.859,MANUAL,OFF,OFF
50.1,3.859,MANUAL,OFF,OFF
50.7,3.859,MANUAL,OFF,OFF
51.4,3.859,MANUAL,OFF,OFF
52.0,3.859,MANUAL,OFF,OFF
52.6,3.859,MANUAL,OFF,OFF
53.3,3.859,MANUAL,OFF,OFF
53.9,3.859,MANUAL,OFF,OFF
54.6,3.859,MANUAL,OFF,OFF
55.2,3.859,MANUAL,OFF,OFF
55.8,3.859,MANUAL,OFF,OFF
56.5,3.859,MANUAL,OFF,OFF
57.1,3.859,MANUAL,OFF,OFF
57.8,3.859,MANUAL,OFF,OFF
58.4,3.859,MANUAL,OFF,OFF
59.0,3.859,MANUAL,OFF,OFF
59.7,3.859,MANUAL,OFF,OFF
60.3,3.859,MANUAL,OFF,OFF
61.0,3.859,MANUAL,OFF,OFF
61.6,3.859,MANUAL,OFF,OFF
62.2,3.859,MANUAL,OFF,OFF
62.9,3.859,MANUAL,OFF,OFF
63.5,3.859,MANUAL,OFF,OFF
64.2,3.859,MANUAL,OFF,OFF
64.8,3.859,MANUAL,OFF,OFF
65.4,3.859,MANUAL,OFF,OFF
66.1,3.859,MANUAL,OFF,OFF
66.7,3.859,MANUAL,OFF,OFF
67.4,3.859,MANUAL,OFF,OFF
68.0,3.859,MANUAL,OFF,OFF
68.6,3.859,MANUAL,OFF,OFF
69.3,3.859,MANUAL,OFF,OFF
69.9,3.859,MANUAL,OFF,OFF
70.6,3.859,MANUAL,OFF,OFF
71.2,3.859,MANUAL,OFF,OFF
71.8,3.859,MANUAL,OFF,OFF
72.5,3.859,MANUAL,OFF,OFF
73.1,3.859,MANUAL,OFF,OFF
73.8,3.859,MANUAL,OFF,OFF
74.4,3.859,MANUAL,OFF,OFF
75.0,3.859,MANUAL,OFF,OFF
75.7,3.859,MANUAL,OFF,OFF
76.3,3.859,MANUAL,OFF,OFF
77.0,3.859,MANUAL,OFF,OFF
77.6,3.859,MANUAL,OFF,OFF
78.2,3.859,MANUAL,OFF,OFF
78.9,3.859,MANUAL,OFF,OFF
79.5,3.859,MANUAL,OFF,OFF
80.2,3.859,MANUAL,OFF,OFF
80.8,3.859,MANUAL,OFF,OFF
81.4,3.859,MANUAL,OFF,OFF
82.1,3.859,MANUAL,OFF,OFF
82.7,3.859,MANUAL,OFF,OFF
83.4,3.859,MANUAL,OFF,OFF
84.0,3.859,MANUAL,OFF,OFF
84.6,3.859,MANUAL,OFF,OFF
85.3,3.859,MANUAL,OFF,OFF
85.9,3.859,MANUAL,OFF,OFF
86.6,3.859,MANUAL,OFF,OFF
87.2,3.859,MANUAL,OFF,OFF
87.8,3.859,MANUAL,OFF,OFF
88.5,3.859,MANUAL,OFF,OFF
89.1,3.859,MANUAL,OFF,OFF
89.8,3.859,MANUAL,OFF,OFF
90.4,3.859,MANUAL,OFF,OFF
91.0,3.859,MANUAL,OFF,OFF
91.7,3.859,MANUAL,OFF,OFF
92.3,3.859,MANUAL,OFF,OFF
93.0,3.859,MANUAL,OFF,OFF
93.6,3.859,MANUAL,OFF,OFF
94.2,3.859,MANUAL,OFF,OFF
94.9,3.859,MANUAL,OFF,OFF
95.5,3.859,MANUAL,OFF,OFF
96.2,3.859,MANUAL,OFF,OFF
96.8,3.859,MANUAL,OFF,OFF
97.5,3.859,MANUAL,OFF,OFF
98.1,3.859,MANUAL,OFF,OFF
98.7,3.859,MANUAL,OFF,OFF
99.4,3.859,MANUAL,OFF,OFF
100.0,3.859,MANUAL,OFF,OFF
100.6,3.859,MANUAL,OFF,OFF
101.3,3.859,MANUAL,OFF,OFF
101.9,3.859,MANUAL,OFF,OFF
102.6,3.859,MANUAL,OFF,OFF
103.2,3.859,MANUAL,OFF,OFF
103.8,3.859,MANUAL,OFF,OFF
104.5,3.859,MANUAL,OFF,OFF
105.1,3.859,MANUAL,OFF,OFF
105.8,3.859,MANUAL,OFF,OFF
106.4,3.859,MANUAL,OFF,OFF
107.0,3.859,MANUAL,OFF,OFF
107.7,3.859,MANUAL,OFF,OFF
108.3,3.859,MANUAL,OFF,OFF
109.0,3.859,MANUAL,OFF,OFF
109.6,3.859,MANUAL,OFF,OFF
110.2,3.859,MANUAL,OFF,OFF
110.9,3.859,MANUAL,OFF,OFF
111.5,3.859,MANUAL,OFF,OFF
112.2,3.859,MANUAL,OFF,OFF
112.8,3.859,MANUAL,OFF,OFF
113.4,3.859,MANUAL,OFF,OFF
114.1,3.859,MANUAL,OFF,OFF
114.7,3.859,MANUAL,OFF,OFF
115.4,3.859,MANUAL,OFF,OFF
116.0,3.859,MANUAL,OFF,OFF
116.6,3.859,MANUAL,OFF,OFF
117.3,3.859,MANUAL,OFF,OFF
117.9,3.859,MANUAL,OFF,OFF
118.6,3.859,MANUAL,OFF,OFF
119.2,3.859,MANUAL,OFF,OFF
119.8,3.859,MANUAL,OFF,OFF
120.5,3.859,MANUAL,OFF,OFF
121.1,3.859,MANUAL,OFF,OFF
121.8,3.859,MANUAL,OFF,OFF
122.4,3.859,MANUAL,OFF,OFF
123.0,3.859,MANUAL,OFF,OFF
123.7,3.859,MANUAL,OFF,OFF
124.3,3.859,MANUAL,OFF,OFF
125.0,3.859,MANUAL,OFF,OFF
125.6,3.859,MANUAL,OFF,OFF
126.2,3.859,MANUAL,OFF,OFF
